Order_ID,Customer_ID,Customer_Name,Gender,Product_Name,Product_Category,Clothing_Category,Quantity,Price_LKR,Total_Amount_LKR,Date,Email,Phone_Number
ORD00001,CUST0001,Nimal Rajapakse,Male,T-shirt,Men,Tops,5,3270,16350,1/15/24,nimal.rajapakse0001@gmail.com,0706439873
ORD00002,CUST0001,Nimal Rajapakse,Male,T-shirt,Kids,Tops,2,526,1052,7/25/24,nimal.rajapakse0001@gmail.com,0706439873
ORD00003,CUST0001,Nimal Rajapakse,Male,Trousers,Men,Bottoms,2,3597,7194,9/23/22,nimal.rajapakse0001@gmail.com,0706439873
ORD00004,CUST0001,Nimal Rajapakse,Male,T-shirt,Kids,Tops,1,2418,2418,2/10/23,nimal.rajapakse0001@gmail.com,0706439873
ORD00005,CUST0002,Sarath Fernando,Male,Shorts,Kids,Bottoms,4,1786,7144,3/29/22,sarath.fernando0002@gmail.com,0780777410
ORD00006,CUST0002,Sarath Fernando,Male,Dress,Kids,Dresses_and_Sarees,2,1297,2594,10/25/22,sarath.fernando0002@gmail.com,0780777410
ORD00007,CUST0002,Sarath Fernando,Male,Trousers,Men,Bottoms,3,1542,4626,10/5/24,sarath.fernando0002@gmail.com,0780777410
ORD00008,CUST0002,Sarath Fernando,Male,Shorts,Kids,Bottoms,2,1865,3730,5/12/22,sarath.fernando0002@gmail.com,0780777410
ORD00009,CUST0002,Sarath Fernando,Male,Shorts,Kids,Bottoms,5,3738,18690,12/6/23,sarath.fernando0002@gmail.com,0780777410
ORD00010,CUST0003,Lalith Perera,Male,Shorts,Kids,Bottoms,1,2329,2329,6/1/24,lalith.perera0003@gmail.com,0727121957
ORD00011,CUST0003,Lalith Perera,Male,Shorts,Kids,Bottoms,4,3170,12680,7/3/22,lalith.perera0003@gmail.com,0727121957
ORD00012,CUST0003,Lalith Perera,Male,Shorts,Kids,Bottoms,2,2150,4300,8/15/24,lalith.perera0003@gmail.com,0727121957
ORD00013,CUST0003,Lalith Perera,Male,Dress,Kids,Dresses_and_Sarees,5,4445,22225,11/14/24,lalith.perera0003@gmail.com,0727121957
ORD00014,CUST0003,Lalith Perera,Male,Shirt,Men,Tops,1,3085,3085,2/8/23,lalith.perera0003@gmail.com,0727121957
ORD00015,CUST0003,Lalith Perera,Male,Jacket,Men,Outerwear,3,4458,13374,6/23/24,lalith.perera0003@gmail.com,0727121957
ORD00016,CUST0003,Lalith Perera,Male,T-shirt,Kids,Tops,5,2224,11120,3/7/25,lalith.perera0003@gmail.com,0727121957
ORD00017,CUST0004,Kamal Gunawardena,Male,Shorts,Men,Bottoms,4,2245,8980,3/11/24,kamal.gunawardena0004@gmail.com,0788004840
ORD00018,CUST0004,Kamal Gunawardena,Male,T-shirt,Kids,Tops,3,3208,9624,11/16/23,kamal.gunawardena0004@gmail.com,0788004840
ORD00019,CUST0004,Kamal Gunawardena,Male,T-shirt,Men,Tops,4,3209,12836,2/23/22,kamal.gunawardena0004@gmail.com,0788004840
