Store_ID,Order_ID,Bill_ID,Customer_ID,Customer_Name,Gender,City,Product_ID,Product_Name,Product_Category,Clothing_Category,Quantity,Price_LKR,Total_Amount_LKR,Date,Time,Payment_Method
7,ORD18407,BILL18407,CUST6569,Amal Silva,Male,Jaffna,k-1001,T-shirt,Kids,Tops,2,1374,2748,2022-01-22,10:38:11,Cash
4,ORD05035,BILL05035,CUST1813,Tharindu Rajapakse,Female,Matara,k-1001,T-shirt,Kids,Tops,4,4842,19368,2024-01-24,18:05:43,Debit Card
8,ORD18326,BILL18326,CUST6542,Nisha Fernando,Female,Kalutara,k-1001,T-shirt,Kids,Tops,3,1349,4047,2023-04-15,14:23:58,Cash
7,ORD22981,BILL22981,CUST8204,Amal Gunawardena,Male,Kalutara,k-2001,Shorts,Kids,Bottoms,2,2266,4532,2023-01-15,17:57:04,Debit Card
6,ORD26032,BILL26032,CUST9309,Lakshmi Gunawardena,Female,Kurunegala,k-3001,Dress,Kids,Dresses_and_Sarees,3,728,2184,2022-06-03,00:51:44,Credit Card
10,ORD05555,BILL05555,CUST1999,Kamal Fernando,Male,Anuradhapura,k-1001,T-shirt,Kids,Tops,5,1920,9600,2024-06-01,01:27:43,Debit Card
10,ORD20576,BILL20576,CUST7331,Ranjith Gunawardena,Male,Anuradhapura,m-1003,T-shirt,Men,Tops,1,3760,3760,2024-06-16,09:58:55,Credit Card
2,ORD01922,BILL01922,CUST0681,Nisha Ranasinghe,Female,Jaffna,k-2001,Shorts,Kids,Bottoms,1,1057,1057,2023-01-05,01:08:34,Credit Card
2,ORD22618,BILL22618,CUST8077,Sanduni Silva,Female,Jaffna,w-1004,Blouse,Women,,1,2190,2190,2022-05-06,16:52:20,Debit Card
4,ORD01389,BILL01389,CUST0502,Lakshmi Bandara,Female,Kandy,k-3001,Dress,Kids,Dresses_and_Sarees,2,2017,4034,2023-02-26,04:13:58,Credit Card
3,ORD17350,BILL17350,CUST6189,Piumi Bandara,Female,Polonnaruwa,w-2005,Leggings,Women,Bottoms,1,3141,3141,2024-05-24,19:08:35,Credit Card
5,ORD10456,BILL10456,CUST3763,Saman Perera,Male,Kurunegala,m-2003,Shorts,Men,Bottoms,3,2047,6141,2025-02-16,22:53:53,Cash
9,ORD16607,BILL16607,CUST5937,Sarath Bandara,Male,Gampaha,k-2001,Shorts,Kids,Bottoms,1,763,763,2025-07-06,00:22:25,Credit Card
9,ORD23702,BILL23702,CUST8466,Nadeesha Rajapakse,Female,Kalutara,k-3001,Dress,Kids,Dresses_and_Sarees,1,4505,4505,2023-11-22,02:43:31,Debit Card
1,ORD11271,BILL11271,CUST4054,Sarath Ranasinghe,Male,Jaffna,k-3001,Dress,Kids,Dresses_and_Sarees,5,3211,16055,2024-03-03,13:15:07,Debit Card
5,ORD13127,BILL13127,CUST4695,Lakshmi Fernando,Female,Matara,w-1004,Blouse,Women,,4,1090,4360,2025-04-25,18:45:07,Credit Card
5,ORD06026,BILL06026,CUST2165,Lalith Ranasinghe,Male,Gampaha,m-2002,Jeans,Men,,5,1411,7055,2024-01-30,13:44:17,Credit Card
9,ORD18922,BILL18922,CUST6749,Lakshmi Rajapakse,Female,Anuradhapura,w-1005,Kurta,Women,Tops,5,2607,13035,2023-04-14,04:39:44,Cash
8,ORD06199,BILL06199,CUST2230,Lalith Jayasinghe,Male,Negombo,k-3001,Dress,Kids,Dresses_and_Sarees,2,2435,4870,2022-02-10,00:55:14,Credit Card
10,ORD20376,BILL20376,CUST7261,Lalith Perera,Male,Galle,k-3001,Dress,Kids,Dresses_and_Sarees,3,1348,4044,2022-12-16,18:16:25,Cash
8,ORD01599,BILL01599,CUST0570,Tharindu Perera,Female,Matara,w-1004,Blouse,Women,,5,4991,24955,2024-11-18,08:11:23,Credit Card
6,ORD17390,BILL17390,CUST6208,Nadeesha Bandara,Female,Galle,k-1001,T-shirt,Kids,Tops,1,3084,3084,2022-03-28,06:11:34,Debit Card
1,ORD08317,BILL08317,CUST2991,Ayesha Fernando,Female,Galle,k-2001,Shorts,Kids,Bottoms,1,2387,2387,2025-02-26,00:56:50,Credit Card
5,ORD24570,BILL24570,CUST8775,Dilani Perera,Female,Anuradhapura,w-1005,Kurta,Women,Tops,5,4144,20720,2023-06-17,05:25:53,Cash
1,ORD05380,BILL05380,CUST1932,Piumi Jayasinghe,Female,Colombo,k-1001,T-shirt,Kids,Tops,5,1181,5905,2024-01-19,07:31:16,Cash
3,ORD09930,BILL09930,CUST3569,Piumi Rajapakse,Female,Polonnaruwa,k-3001,Dress,Kids,Dresses_and_Sarees,3,3731,11193,2023-09-05,07:07:13,Credit Card
3,ORD05590,BILL05590,CUST2012,Ranjith Silva,Male,Anuradhapura,m-1003,T-shirt,Men,Tops,2,3919,7838,2023-09-05,10:15:59,Debit Card
10,ORD04901,BILL04901,CUST1761,Bandara Gunawardena,Male,Anuradhapura,m-1002,Shirt,Men,Tops,1,737,737,2023-02-25,13:51:24,Credit Card
8,ORD06380,BILL06380,CUST2300,Nisha Jayasinghe,Female,Polonnaruwa,k-1001,T-shirt,Kids,Tops,2,2399,4798,2022-01-06,06:23:13,Debit Card
7,ORD14846,BILL14846,CUST5310,Ranjith Silva,Male,Galle,m-4001,Jacket,Men,Outerwear,4,2460,9840,2025-05-09,23:38:52,Credit Card
10,ORD11770,BILL11770,CUST4218,Bandara Bandara,Male,Ratnapura,k-3001,Dress,Kids,Dresses_and_Sarees,5,3517,17585,2025-03-14,18:33:10,Cash
10,ORD05536,BILL05536,CUST1993,Nimal Silva,Male,Negombo,k-1001,T-shirt,Kids,Tops,5,4830,24150,2023-01-29,22:52:31,Credit Card
2,ORD27411,BILL27411,CUST9790,Nadeesha Perera,Female,Anuradhapura,w-3002,Dress,Women,Dresses_and_Sarees,5,1379,6895,2024-04-06,16:21:05,Debit Card
3,ORD09001,BILL09001,CUST3247,Ranjith Perera,Male,Kandy,m-4001,Jacket,Men,Outerwear,3,3701,11103,2022-07-18,08:55:55,Cash
4,ORD07977,BILL07977,CUST2873,Kamal Perera,Male,Negombo,k-2001,Shorts,Kids,Bottoms,3,4756,14268,2023-03-15,19:40:49,Debit Card
10,ORD25576,BILL25576,CUST9133,Saman Ranasinghe,Male,Galle,m-2003,Shorts,Men,Bottoms,4,3211,12844,2022-06-19,08:31:45,Debit Card
5,ORD07340,BILL07340,CUST2642,Piumi Perera,Female,Kurunegala,w-1005,Kurta,Women,Tops,5,4930,24650,2023-05-29,22:52:47,Debit Card
2,ORD19718,BILL19718,CUST7033,Ayesha Gunawardena,Female,Polonnaruwa,k-3001,Dress,Kids,Dresses_and_Sarees,3,3353,10059,2023-06-04,07:38:53,Cash
3,ORD10855,BILL10855,CUST3913,Sarath Gunawardena,Male,Polonnaruwa,k-3001,Dress,Kids,Dresses_and_Sarees,2,4519,9038,2022-01-20,23:39:54,Credit Card
